domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url
kroll.be,2000-12-13,,,,,
champstore.be,2009-06-03,,,,,
gvmh.org,1997-12-23,2022-09-29,2025-12-22,"Network Solutions, LLC",domain.operations@web.com,https://web.com
multibaterias.net,2021-10-01,2024-09-16,2025-10-01,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com
acps.org,2000-02-04,2024-10-16,2028-02-04,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
ms25.hinet.net,1994-03-19,2024-10-16,2028-03-20,"Net-Chinese Co., Ltd.",foreign@net-chinese.com.tw,https://net-chinese.com.tw
athr.dev,2022-07-13,2025-01-18,2026-07-13,"CloudFlare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com
acelli.it,1997-03-19,2024-12-04,2025-11-18,Register S.p.a.,,
oxygenit.co.nz,,,,,,
kojima-kiac.co.th,,,,THNIC,staff@thnic.co.th,https://thnic.co.th
kippatl.org,2023-02-28,2024-01-08,2026-02-28,"Register.com, Inc.",domain.operations@web.com,https://web.com
turboenvios.services,2024-04-04,2024-04-09,2025-04-04,"GoDaddy.com, LLC",cctldassistance@godaddy.com,https://godaddy.com
octavia.org.uk,2011-08-23,2024-07-31,2026-08-23,123-Reg Limited t/a 123-reg [Tag = 123-REG],,
garbe-automatisme.fr,2007-10-03,2024-07-31,2025-06-27,SAS Ligne Web Services - LWS,afnic@lws.fr,https://lws.fr
ngttrav.bizml.ru,2016-08-08,,2025-08-08,RU-CENTER-RU,,
blacklist.bike,2020-10-18,2024-10-08,2025-10-18,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com
wraa.com.au,,2024-04-24,,Melbourne IT,,
secondset.us,2012-12-10,2024-12-15,2026-12-09,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
interlab.com.tr,1998-06-22,,2025-06-21,,,
alunos.unis.edu.br,2002-11-21,2023-02-23,,,,
amercom.org,2001-06-01,2024-05-17,2025-06-01,"Domain.com, LLC",compliance@domain-inc.net,https://domain-inc.net
dicampelli.com.br,2024-11-01,2025-02-14,2026-11-01,,,
messmerschools.org,2000-11-02,2022-09-08,2027-11-02,"Network Solutions, LLC",domain.operations@web.com,https://web.com
hokkaidoplastics.com.br,2017-01-18,2025-02-15,2026-01-03,,,
primaryinformation.org,2006-05-15,2023-06-29,2028-05-15,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com
hqkansas.org,2023-05-04,2024-05-17,2025-05-04,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com
casarchitects.net,2004-05-04,2024-05-02,2025-05-04,"eNom, LLC",domainabuse@tucows.com,https://tucows.com
mayfieldgirls.org,2008-02-19,2025-01-25,2026-02-19,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com
coou.edu.ng,2015-07-14,2024-08-01,2025-07-14,HostAfrica,mo@hostafrica.com,https://hostafrica.com
student.kss.tp.edu.tw,,,,,,
glocken-baeckerei.de,,2025-01-13,,,,
