domain,date_registered,date_last_renewed,date_expires,registrar,registrar_url,organization_name
swops.cloud,2020-03-24,2025-02-05,2025-03-24,"Key-Systems, LLC",https://key-systems.net,
syncsketch.com,2012-04-03,2024-08-02,2026-04-03,"MarkMonitor, Inc.",https://markmonitor.com,SyncSketch
tabroom.com,2000-02-07,2025-01-07,2026-02-07,Gandi SAS,https://support.gandi.net,Tabroom.com
tacb.co.uk,2010-10-27,2024-10-28,2025-10-27,123-Reg Limited t/a 123-reg [Tag = 123-REG],,
tacojohns.com,1996-07-26,2024-05-26,2025-07-25,"Network Solutions, LLC",https://web.com,Taco John's
tavoca.com,2001-04-05,2023-12-29,2029-01-10,"GoDaddy.com, LLC",https://godaddy.com,Tavoca
tdsmanagedip.com,2007-05-31,2023-05-27,2025-05-31,"CSC Corporate Domains, Inc.",https://cscglobal.com,
teamfortress.com,2004-09-11,2024-09-11,2028-09-11,"MarkMonitor, Inc.",https://markmonitor.com,Team Fortress 2
tecton.ai,2018-09-17,,,NAMECHEAP INC,https://namecheap.com,Tecton
teemo.co,2014-03-18,2024-03-19,2025-03-17,"GoDaddy.com, LLC",https://godaddy.com,Hilco Digital Assets
tenyek.hu,,,,,,Tények
testo.com,1996-04-30,2024-06-17,2025-05-01,Deutsche Telekom AG,https://telekom.de,Testo
theclinics.com,1999-06-28,2024-09-03,2025-09-02,Safenames Ltd,https://safenames.net,
theuniguide.co.uk,2019-12-18,2024-12-19,2025-12-18,123-Reg Limited t/a 123-reg [Tag = 123-REG],,
threatmetrix.eu,,,,"GoDaddy.com, LLC",,ThreatMetrix
ti6gjrp.com,,,,,,
timeneye.com,2013-01-22,2025-01-23,2026-01-22,"OVH, SAS",https://ovh.net,
tinymdm.net,2018-01-25,2025-01-26,2026-01-25,"OVH, SAS",https://ovh.net,
tmlewin.co.uk,1996-08-01,2025-02-19,2026-02-22,"CSC Corporate Domains, Inc [Tag = CSC-CORP-DOMAINS]",,T.M.Lewin
tomtom-global.com,2017-04-25,2024-08-02,2025-04-25,"MarkMonitor, Inc.",https://markmonitor.com,
tpcx.com,2000-03-07,2024-03-03,2026-03-07,"CSC Corporate Domains, Inc.",https://cscglobal.com,Exchange
transaktionsplattform.de,,2014-10-24,,,,
transformationinsider.com,2010-04-18,2024-09-19,2034-04-18,"GoDaddy.com, LLC",https://godaddy.com,Joel Marion's Transformation Insider
trifectanutrition.com,2015-05-31,2022-11-17,2030-05-31,"Cloudflare, Inc.",https://cloudflare.com,Trifecta
truebill.xyz,2020-08-05,2024-08-22,2025-08-05,Gandi SAS,https://support.gandi.net,
turbologo.com,2016-09-29,2024-11-21,2034-09-29,"GoDaddy.com, LLC",https://godaddy.com,AI Logo Maker
twobillsdrive.com,1997-09-08,2024-08-08,2029-09-07,Pair Domains,https://pairdomains.com,
