Unnamed: 0,domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url,Unnamed: 0.1
,newmexico.org,1995-10-02,2024-10-06,2034-10-01,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,newp.co.il,,,2027-10-03,LiveDNS Ltd,shlomi.kakon@gmail.com,https://gmail.com,
,ngdbilhn.ru,,,,,,,
,niazitv.pk,2019-09-02,,2025-09-02,,,,
,ninjaorigin.com,2021-03-18,2024-12-26,2025-03-18,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,nisalocally.co.uk,2010-10-12,2024-10-13,2025-10-12,"GoDaddy.com, LLC. [Tag = GODADDY]",,,
,nivea.co.th,,,,THNIC,staff@thnic.co.th,https://thnic.co.th,
,njtransfer.org,2001-06-29,2024-05-31,2025-06-29,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,nobara.xyz,,,,,,,
,nobodyshot.com,2012-12-27,2024-12-18,2025-12-27,"Regional Network Information Center, JSC dba RU-CENTER",tld-abuse@nic.ru,https://nic.ru,
,nodtothehairstons.com,2017-12-11,2024-12-04,2025-12-11,Abion AB,abuse@abion.com,https://abion.com,
,nomadiccooling.com,2019-04-24,2024-03-22,2025-04-24,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,nostv.pt,,,,,,,
,notretemps.com,1998-11-02,2024-10-01,2025-11-01,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net,
,novamedia.com,1996-05-18,2024-05-21,2025-05-19,Metaregistrar BV,abuse@metaregistrar.com,https://metaregistrar.com,
,nwsnow.net,2017-06-19,2024-06-20,2025-06-19,IONOS SE,abuse@ionos.com,https://ionos.com,
,oakfurnituresuperstore.co.uk,2009-09-14,2023-03-03,2025-09-14,ANS Group Ltd [Tag = UKFAST],,,
,oantagonista.com,2014-11-03,2024-09-29,2025-11-03,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,ob4.cn,2014-03-15,,2026-03-15,阿里云计算有限公司（万网）,15011114650@zhrt.com.cn,https://zhrt.com.cn,
,obergatlinburg.com,1996-11-21,2024-11-13,2025-11-20,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,oberland-plastikfrei.de,,,,,,,
,ocduk.org,2003-12-04,2025-01-18,2025-12-04,IONOS SE,abuse@ionos.com,https://ionos.com,
,ocoopa.com,2016-11-23,2023-10-31,2026-11-23,"DNSPod, Inc.",abuse@dnspod.com,https://dnspod.com,
,odealarose.com,2010-04-29,2025-01-23,2034-04-29,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,odrabiamy.pl,2015-03-19,2020-07-23,2028-03-19,OVH SAS,,,
,ohiombdabusinesscenter.com,2021-08-24,2022-10-13,2025-08-24,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,olakala.de,,2020-06-15,,,,,
,olike.co.id,2020-07-10,2023-06-06,2026-07-10,PT Digital Registra Indonesia,,,
,olmstedcounty.gov,2020-04-30,2024-01-08,2025-04-30,get.gov,,,
,onelanonline.com,2016-04-28,2024-04-29,2025-04-28,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,onesyscloud.com,2014-03-14,2024-11-26,2026-03-14,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk,
,onlinebusinessbuilderchallenge.com,2018-09-18,2024-09-19,2026-09-18,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,onlinephotocart.com,2014-11-21,2024-11-21,2025-11-21,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,onlinequizcreator.com,2013-07-11,2024-07-13,2025-07-11,MijnInternetOplossing B.V.,abuse@mijninternetoplossing.nl,https://mijninternetoplossing.nl,
,onsleek.com,2015-01-17,2024-12-13,2026-01-17,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,
,op-palvelut.fi,2010-11-03,2024-09-26,2025-11-03,"CSC Corporate Domains, Inc.",,,
,opoxid22.com,2022-08-19,2024-10-25,2025-08-19,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,opticalupdater.com,2020-09-17,2024-09-10,2025-09-17,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,
,opusdei.org,1995-12-08,2024-11-02,2025-12-07,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,orchardsoft.com,1996-01-27,2022-11-29,2028-01-28,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,ordbokene.no,2020-09-09,2024-09-09,,,,,
,otec-industry.com.ua,,,,,,,
,otohits.net,2013-04-08,2024-03-11,2029-04-08,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,ottos.ch,,,,,,,
,ourfamilywizard.co.uk,2009-07-28,2024-06-21,2025-07-28,"GoDaddy.com, LLC. [Tag = GODADDY]",,,
,oursecondnature.com,2016-08-04,2022-09-28,2026-08-04,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,overymc.fr,2021-04-01,2025-03-04,2026-04-01,FEELB,contact@feelb.io,https://feelb.io,
,ozon.kz,,,,ICPS,domains@ozon.kz,https://ozon.kz,
,pagi.co.il,,,,Israel Internet Association ISOC-IL,kobys@fibimail.co.il,https://fibimail.co.il,
,pankow.com,1997-02-23,2024-02-24,2034-02-24,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,paperdb.com,2015-02-26,2021-12-28,2027-02-26,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com,
,paperskysuperiors.us,2024-07-10,2024-09-03,2025-07-10,Dynadot Inc,abuse@dynadot.com,https://dynadot.com,
,paperspecs.com,1999-05-13,2023-09-05,2025-05-13,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,parafrasist.com,2020-06-28,2024-07-27,2026-06-28,"HOSTINGER operations, UAB",abuse-tracker@hostinger.com,https://hostinger.com,
,parfuemerie-vollmar.shop,2019-01-14,2025-02-18,2026-01-14,united-domains GmbH,abuse@united-domains.de,https://united-domains.de,
,parfumdo.com,2008-07-24,2024-07-25,2025-07-24,"OVH, SAS",abuse@ovh.net,https://ovh.net,
,parksherts.co.uk,2016-11-08,2024-10-09,2026-11-08,Fasthosts Internet Ltd [Tag = LIVEDOMAINS],,,
,parlament.ch,,,,,,,
,partylabels24.com,2015-07-07,2025-01-22,2025-07-07,RegistryGate GmbH,abuse@registrygate.com,https://registrygate.com,
,pathfinderwiki.com,2008-03-08,2024-12-16,2026-03-08,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,
,patinagroup.com,2000-01-26,2024-11-26,2028-01-26,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
,patreontools.com,2019-08-19,2024-07-18,2025-08-19,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com,
,payco.com,2001-04-04,2024-03-19,2025-04-04,"Gabia, Inc.",abuse@gabia.com,https://gabia.com,
,payment-3ds.com,2020-09-07,2024-09-05,2025-09-07,"Regional Network Information Center, JSC dba RU-CENTER",tld-abuse@nic.ru,https://nic.ru,
,pbffinancecalculator.info,2019-03-20,2024-06-13,2025-03-20,Mesh Digital Limited,abuse@domainbox.com,https://domainbox.com,
,pdf.io,2015-07-26,2024-07-01,2025-07-26,"Cloudflare, Inc",,,
,pe.hu,,,,,,,
,peoplecheck.co.uk,2003-02-09,2025-02-08,2027-02-09,Ionos SE [Tag = 1AND1],,,
,peoplehours.net,2020-12-08,2023-10-09,2025-12-08,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,perfectinstall.net,2016-02-01,2024-11-12,2026-02-01,CNOBIN INFORMATION TECHNOLOGY LIMITED,abuse@ordertld.com,https://ordertld.com,
,perx.com,1996-05-02,2024-04-04,2025-05-03,"TUCOWS, INC.",domainabuse@tucows.com,https://tucows.com,
,petra.de,,2019-09-12,,,,,
,pgworks.com,1997-09-23,2020-09-23,2030-09-22,"Network Solutions, LLC",domain.operations@web.com,https://web.com,
