domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url
alfacaravan.it,,,,,,
phimsllc.org,,,,,,
tmi-tribology.com,2019-01-25T11:22:51Z,2025-01-26T08:13:58Z,2026-01-25T11:22:51Z,OVH sas,abuse@ovh.net,https://ovh.net
tecnetinfo.com.br,,,,,,
strongtie.com,1995-07-29T04:00:00Z,2024-07-18T15:23:10Z,2025-07-28T04:00:00Z,1API GmbH,abuse@1api.net,https://1api.net
kuechen-team.de,,,,,,
theilinger.de,,,,,,
phx.niddk.nih.gov,,,,,,
drewmemorial.org,,,,,,
corewellhealth.org,,,,,,
northernhealth.org,,,,,,
muhealth.org,,,,,,
ecodesk.com,2005-09-12T03:33:46Z,2024-08-09T01:14:02Z,2025-09-12T03:33:46Z,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net
jarars.com,2023-12-29T05:08:25Z,2025-01-28T15:41:08Z,2025-12-29T05:08:25Z,"NameSilo, LLC",abuse@namesilo.com,https://namesilo.com
stannscommunity.com,1999-09-14T21:22:06Z,2024-07-16T06:25:45Z,2025-09-14T21:22:06Z,"Network Solutions, LLC",domain.operations@web.com,https://web.com
sc5.so-net.ne.jp,,,,,,
canby.k12.or.us,,,,,,
dasoffshore.com,2017-04-05T18:18:05Z,2024-04-05T16:23:36Z,2025-04-05T18:18:05Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
lancastergeneral.org,,,,,,
istitutomartini.tv.it,,,,,,
bung.holio.day,,,,,,
kraichgauer-oelmuehle.de,,,,,,
coldwellbankercaine.com,2003-02-22T16:34:51Z,2025-02-03T19:17:39Z,2026-02-22T16:34:51Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
bodminjailhotel.com,2019-10-02T13:08:20Z,2024-10-03T11:28:25Z,2025-10-02T13:08:20Z,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk
gnf.com,1996-03-16T05:00:00Z,2024-12-19T06:00:45Z,2025-12-23T18:33:57Z,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com
cameron911.com,1999-06-01T23:48:19Z,2024-06-02T18:01:00Z,2026-06-01T23:48:57Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
argabogados.com,2010-12-28T17:24:12Z,2024-12-29T08:25:26Z,2025-12-28T17:24:12Z,"Arsys Internet, S.L. dba NICLINE.COM",abuse@nicline.com,https://nicline.com
johnxxiiicc.org,,,,,,
fqku.undeadbank.com,,,,,,
superpumper.com,1998-11-24T05:00:00Z,2023-10-27T15:51:36Z,2028-11-23T05:00:00Z,"Network Solutions, LLC",domain.operations@web.com,https://web.com
thehiltgroup.org,,,,,,
creativeroundup.com,2007-02-26T21:48:42Z,2023-09-20T17:06:29Z,2025-09-16T11:59:59Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
strijkshop.be,,,,,,
o2mail.de,,,,,,
artzmencreative.com,2023-01-07T10:43:53Z,2025-01-08T11:40:59Z,2027-01-07T10:43:53Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
acponline.org,,,,,,
chas.org,,,,,,
alice-dsl.net,,,,,,
azarthritis.com,2002-01-15T19:45:41Z,2024-12-06T18:41:58Z,2026-01-15T19:45:41Z,"Network Solutions, LLC",domain.operations@web.com,https://web.com
saisperu.com,2014-09-06T00:42:05Z,2024-08-27T16:46:29Z,2025-09-06T00:42:05Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
casamontoyarealty.com,2016-09-10T00:16:11Z,2024-08-11T06:02:17Z,2025-09-10T00:16:11Z,"NameCheap, Inc.",abuse@namecheap.com,https://namecheap.com
radiussystemsllc.com,2006-07-11T18:18:15Z,2024-11-05T14:53:08Z,2028-07-11T18:18:15Z,Netregistry Wholesale Pty Ltd,abuse@melbourneit.com.au,https://melbourneit.com.au
trunknetworks.com,2008-11-05T09:20:46Z,2024-10-07T06:29:03Z,2025-11-05T09:20:46Z,"eNom, LLC",domainabuse@tucows.com,https://tucows.com
clearyhoare.com.au,,,,,,
unab.edu.co,,,,,,
optimaweb.com,2001-05-19T10:32:46Z,2024-05-03T13:48:56Z,2025-05-19T10:32:46Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
omnigraphics.net,,,,,,
flemingusa.com,2001-09-20T13:16:22Z,2024-09-21T17:17:41Z,2026-09-20T13:16:22Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
desertservices.net,,,,,,
brooksidewomensmedical.com,1999-09-03T02:54:30Z,2024-08-14T08:35:13Z,2025-09-03T02:54:30Z,"Domain.com, LLC",compliance@domain-inc.net,https://domain-inc.net
thekcagent.com,2010-05-10T18:11:07Z,2024-05-09T08:41:42Z,2025-05-10T18:11:07Z,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com
holdenbolster.com.au,,,,,,
bhs1.org,,,,,,
fortunallc.net,,,,,,
giatec.nl,,,,,,
alumni.unimaas.nl,,,,,,
nmia.com,1994-03-11T05:00:00Z,2025-02-06T20:05:12Z,2026-03-12T04:00:00Z,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com
bhcancercenter.com,2007-05-17T21:51:01Z,2024-05-18T14:48:27Z,2025-05-17T21:51:01Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
szymonsikora.pl,,,,,,
mjje.com,2001-04-13T17:06:59Z,2024-03-19T22:44:58Z,2025-04-13T17:06:59Z,FastDomain Inc.,domain.operations@web.com,https://web.com
1westcoast.com,2006-08-29T21:59:24Z,2024-08-30T07:44:36Z,2025-08-29T21:59:24Z,IONOS SE,abuse@ionos.com,https://ionos.com
uplayonline.com,2010-08-01T18:28:50Z,2025-02-06T20:22:28Z,2025-08-01T18:28:50Z,Hetzner Online GmbH,abuse@hetzner.com,https://hetzner.com
martymarks.com,2000-08-23T21:25:12Z,2023-03-24T17:42:53Z,2026-03-30T03:59:59Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
shawinc.com,1996-03-29T05:00:00Z,2023-03-02T15:55:36Z,2028-03-30T04:00:00Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
domo.com,1995-06-01T04:00:00Z,2024-08-12T19:58:23Z,2027-05-31T04:00:00Z,"Register.com, Inc.",domain.operations@web.com,https://web.com
pnscorp.kr,,,,,,
diehl-es.de,,,,,,
arc-intl.com,1998-09-04T04:00:00Z,2023-08-02T10:50:50Z,2025-09-03T04:00:00Z,MarkMonitor Inc.,abusecomplaints@markmonitor.com,https://markmonitor.com
trukare.com,1998-06-19T04:00:00Z,2024-10-25T15:14:28Z,2026-06-18T04:00:00Z,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com
canarycare.co.uk,,,,,,
sumitomo-warehouse.com.sg,,,,,,
spcorp.com,1994-12-27T05:00:00Z,2025-01-31T15:37:50Z,2026-12-26T05:00:00Z,MarkMonitor Inc.,abusecomplaints@markmonitor.com,https://markmonitor.com
deestyl.com,2009-08-01T06:34:59Z,2023-08-05T17:45:01Z,2025-08-01T06:34:59Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
sio.midco.net,,,,,,
kardiologie-neusaess.de,,,,,,
ulthera.com,2004-03-16T03:05:04Z,2024-03-12T05:40:56Z,2025-03-16T02:05:04Z,"CSC Corporate Domains, Inc.",domainabuse@cscglobal.com,https://cscglobal.com
pontoonglobal.com,2024-08-22T09:15:16Z,2024-11-06T18:32:55Z,2025-08-22T09:15:16Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
ancoppens.com,2008-06-12T15:15:58Z,2024-06-05T07:33:33Z,2025-06-12T15:15:58Z,"eNom, LLC",domainabuse@tucows.com,https://tucows.com
biglog.com.br,,,,,,
thecreativerefuge.video,,,,,,
korbersales.com,2004-06-24T22:22:52Z,2024-07-21T16:46:02Z,2025-07-21T03:59:59Z,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
ferrisedc.org,,,,,,
freshwatervet.com,2020-03-16T15:00:04Z,2025-03-01T19:41:42Z,2026-03-16T15:00:04Z,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com
