domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url,best_site_name,scraping_status_code
graylionfunding.com,2023-04-14,2024-07-01,2025-04-14,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
ncsrcc.org,2007-11-01,2024-11-02,2026-11-01,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
jd-walker.com,2018-09-07,2024-03-08,2030-09-07,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
commpass.nl,2002-04-19,2018-04-27,,Registrar.eu,,,,200
leasuregroup.com,2020-11-12,2024-10-28,2025-11-12,FastDomain Inc.,domain.operations@web.com,https://web.com,,200
zushi-kaisei.ac.jp,,,,,,,,Error
buffalocity.gov.za,,,,,,,,Error
podiatryprofessionals.com.au,,2024-12-24,,Web Address Registration Pty Ltd,,,,200
talhi.com,1998-04-08,2025-02-10,2026-04-07,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
theknowledgeacademy.com,2009-03-09,2024-12-03,2034-03-09,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk,,200
lasallematamoros.edu.mx,2014-07-16,2024-07-17,2025-07-16,"AKKY ONLINE SOLUTIONS, S.A. DE C.V.",,,,Error
xalapaclothes.com,2025-01-09,2025-01-09,2026-01-09,IONOS SE,abuse@ionos.com,https://ionos.com,,Error
johnrwood.com,1996-08-30,2024-09-11,2025-08-29,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com,,Error
taotri.com,2016-09-05,2024-08-21,2025-09-05,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com,,200
flairfloral.com,2006-02-14,2025-02-10,2027-02-14,"DNC Holdings, Inc",abuse@directnic.com,https://directnic.com,,200
phillipscorp.com,1996-02-25,2025-01-02,2034-02-26,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,200
meetperlonai.com,2024-07-22,2024-07-22,2025-07-22,Realtime Register B.V.,rtr-security-threats@realtimeregister.com,https://realtimeregister.com,,Error
andyman.fr,2023-05-04,2024-06-30,2025-05-04,AMEN / Agence des Médias Numériques,afnic@amen.fr,https://amen.fr,,Error
correo.aeat.es,,,,,,,,Error
littletown.biz,2024-06-02,2024-06-07,2025-06-02,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,Error
mipiso1.com,2007-05-30,2024-05-23,2025-05-30,Dinahosting s.l.,abuse-domains@dinahosting.com,https://dinahosting.com,,Error
ohsnappickles.com,2014-08-15,2023-07-25,2025-08-15,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
corazonistasva.com,2017-09-01,2024-08-26,2026-09-01,DonDominio (SCIP),abuse@scip.es,https://scip.es,,200
seasidesenior.com,2016-08-05,2024-08-14,2026-08-05,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
innolux.com.tw,2002-08-08,,2029-08-13,HINET,,,,Error
pkd.com.au,,2024-12-06,,Web Address Registration Pty Ltd,,,,200
earthcareinc.org,2007-12-10,2024-11-16,2025-12-10,Tucows Domains Inc.,,,,Error
btrei.com,2014-11-30,2024-11-30,2026-11-30,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
kathybreen.com,2019-04-30,2024-03-31,2025-04-30,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com,,200
istanbultarim.com,2003-12-01,2024-12-02,2030-12-01,Isimtescil Bilisim A.S.,abuse@isimtescil.net,https://isimtescil.net,,200
modestotoyota.com,1996-07-21,2025-02-28,2029-07-20,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
gadijakhan.co.za,2018-10-05,2024-09-28,2025-10-05,DIAMATRIX C.C.,abuse@domains.co.za,https://domains.co.za,,200
lharveys.com,2001-04-24,2023-01-20,2028-04-24,"Register.com, Inc.",domain.operations@web.com,https://web.com,,Error
mail.sacredheart.edu,1992-04-28,,2027-07-31,,,,,Error
premierfarnell.com,1996-04-25,2024-05-03,2025-04-26,NOM-IQ Ltd dba Com Laude,abuse@comlaude.com,https://comlaude.com,,Error
lernertc.com,2016-12-05,2025-01-15,2025-12-05,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,,200
noirgroup.co.za,2019-07-04,2024-06-12,2025-07-04,DIAMATRIX C.C.,abuse@domains.co.za,https://domains.co.za,,200
transform.com,1998-08-07,2024-12-25,2026-08-06,Tucows Domains Inc.,domainabuse@tucows.com,https://tucows.com,,Error
coverageoneinsurance.com,2011-01-12,2025-01-13,2026-01-12,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
bbag-sales.de,,2019-09-03,,,,,,200
desertwavetours.com,2021-08-22,2023-08-23,2025-08-22,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
iqtransinc.com,2021-08-11,2024-07-28,2025-08-11,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com,,Error
keyambitions.ca,2023-04-29,2024-06-13,2025-04-29,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com,,200
dir.bg,,,,,,,,200
mimedx.com,2006-11-20,2024-11-08,2025-11-20,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com,,200
champaignpoolpros.com,2024-03-29,2024-04-13,2025-03-29,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
snowsportvacations.com,2004-04-21,2024-04-22,2025-04-21,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
calvarymissionviejo.com,2003-12-17,2023-12-18,2026-12-17,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
mightywieners.com,2019-04-17,2024-06-10,2025-04-17,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
profilsys.de,,2023-02-16,,,,,,200
woodbridgepediatrics.com,1999-09-22,2024-09-22,2025-09-22,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
students.beaufort.hants.sch.uk,,,,,,,,Error
breeze-ms.com,2020-01-20,2024-12-21,2026-01-20,Wix.com Ltd.,domain-abuse@wix.com,https://wix.com,,200
hamsadecor.com,2013-09-09,2024-09-09,2025-09-09,IONOS SE,abuse@ionos.com,https://ionos.com,,Error
succeedlife.net,2008-02-17,2025-02-18,2026-02-17,IONOS SE,abuse@ionos.com,https://ionos.com,,Error
goodlinker.io,2018-07-18,2025-01-02,2026-07-18,"GoDaddy.com, LLC",,,,Error
steelwarehouse.net,1998-06-03,2022-09-10,2026-06-02,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
phase-5.com,1996-06-01,2023-04-01,2028-05-31,"Network Solutions, LLC",domain.operations@web.com,https://web.com,,Error
elevatenashvilletn.com,2020-10-06,2024-10-07,2025-10-06,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,Error
westoneentertainment.com,2017-05-31,2024-06-01,2025-05-31,123-Reg Limited,abuse@123-reg.co.uk,https://123-reg.co.uk,,200
usjr.edu.ph,,,,,,,,200
actuatorspecialties.com,2001-02-16,2025-02-17,2026-02-16,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com,,200
