domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url
napaecat.com,2002-12-13 00:24:40+00:00,2022-10-13 06:27:13+00:00,2027-12-13 00:24:40+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
news.am,,,,abcdomain (ABCDomain LLC),privacy@internet.am,https://internet.am
newsbreaklocal.com,2018-04-29 22:17:30+00:00,2024-04-28 21:20:45+00:00,2025-04-29 22:17:30+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
nguoi-viet.com,1999-07-16 23:23:04+00:00,2021-09-01 16:07:21+00:00,2025-07-16 23:23:04+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
nhanh.vn,,,,,,
nibusinessinfo.co.uk,2005-10-17 00:00:00+00:00,2024-10-16 00:00:00+00:00,2025-10-17 00:00:00+00:00,Vodafone Limited t/a Vodafone.co.uk [Tag = VODAFONE],,
nipechala.com,2022-07-17 08:03:04+00:00,2024-07-04 06:45:54.520000+00:00,2025-07-17 08:03:04+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
nomerogram.ru,2016-04-27 05:55:49+00:00,,2026-04-27 05:55:49+00:00,R01-RU,,
noor-book.com,2015-02-23 00:25:00+00:00,2022-09-18 00:42:49+00:00,2030-02-23 00:25:00+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
nuacom.ie,2016-05-12 23:00:00+00:00,,2025-05-13 09:51:18+00:00,Letshost,,
numbatdns.com,2023-08-14 08:55:31+00:00,2023-09-01 06:12:09+00:00,2029-08-14 08:55:31+00:00,Internet Domain Service BS Corp.,abuse@internet.bs,https://internet.bs
oasis-open.org,1998-03-04 05:00:00+00:00,2025-01-22 07:08:28+00:00,2026-03-03 05:00:00+00:00,"DNC Holdings, Inc.",abuse@directnic.com,https://directnic.com
oenb.at,,2022-12-30 13:44:41+00:00,,next layer Telekommunikationsdienstleistungs- und Beratung GmbH ( https://nic.at/registrar/704 ),,
okhistory.org,2002-02-07 20:14:59+00:00,2024-02-23 14:38:18+00:00,2026-02-07 20:14:59+00:00,"Register.com, Inc.",domain.operations@web.com,https://web.com
olaparty.com,2020-07-08 01:32:19+00:00,2024-12-06 10:20:33+00:00,2026-07-08 01:32:19+00:00,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com
onlinealarmkur.com,2012-04-29 14:12:50+00:00,2024-09-02 16:36:04.950000+00:00,2030-04-29 14:12:50+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
onlyspark.net,2022-12-12 07:50:19+00:00,2025-02-21 10:00:06+00:00,2025-12-12 07:50:19+00:00,"Cloudflare, Inc.",registrar-abuse@cloudflare.com,https://cloudflare.com
optaintel.ca,2012-08-15 21:08:30+00:00,2024-10-01 20:27:27+00:00,2025-08-15 21:08:30+00:00,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com
orange-logistics.de,,,,,,
ozbargain.com.au,,2024-06-01 03:23:47+00:00,,Synergy Wholesale Accreditations Pty Ltd,,
pahtbt.tech,2021-02-16 15:34:48+00:00,2024-04-25 22:33:49+00:00,2029-02-16 23:59:59+00:00,Enartia Single Member S.A.,abuse@papaki.com,https://papaki.com
pahtvs.tech,2021-02-16 15:39:29+00:00,2024-04-25 22:34:19+00:00,2029-02-16 23:59:59+00:00,Enartia Single Member S.A.,abuse@papaki.com,https://papaki.com
paid4link.com,2018-07-20 19:35:16+00:00,2024-06-23 19:37:46+00:00,2025-07-20 19:35:16+00:00,"HOSTINGER operations, UAB",abuse-tracker@hostinger.com,https://hostinger.com
palmestore.com,2009-02-20 02:37:13+00:00,2021-12-08 07:38:44+00:00,2027-02-20 02:37:13+00:00,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com
parkonect.com,2011-07-05 23:47:13+00:00,2022-10-29 17:54:40+00:00,2025-07-05 23:47:13+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
particlehealth.com,2017-11-22 20:59:33+00:00,2025-01-07 16:44:12.370100+00:00,2025-11-22 20:59:33+00:00,Squarespace Domains II LLC,abuse-complaints@squarespace.com,https://squarespace.com
paymentez.com,2009-12-16 19:39:27+00:00,2024-12-05 10:50:20+00:00,2026-03-04 04:59:59+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
paymentsgateway.net,2000-03-17 20:43:47+00:00,2025-01-16 07:38:02+00:00,2026-03-17 19:43:46+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
paytsoftware.com,2019-11-08 13:22:49+00:00,2025-01-22 08:22:14+00:00,2025-11-08 13:22:49+00:00,Key-Systems GmbH,abuse@key-systems.net,https://key-systems.net
paywb.com,2014-02-15 16:31:14+00:00,2024-12-19 11:23:24+00:00,2026-02-15 16:31:14+00:00,"Regional Network Information Center, JSC dba RU-CENTER",tld-abuse@nic.ru,https://nic.ru
poopmap.net,2013-08-10 15:57:41+00:00,2023-06-23 13:27:05+00:00,2028-08-10 15:57:41+00:00,Dynadot Inc,abuse@dynadot.com,https://dynadot.com
porno-zona.com,2007-12-20 13:06:23+00:00,2024-12-15 22:25:29+00:00,2025-12-20 13:06:23+00:00,Danesco Trading Ltd.,abuse@danesconames.com,https://danesconames.com
ppsspp.org,2012-08-19 20:25:45+00:00,2024-06-28 14:02:14+00:00,2025-08-19 20:25:45+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
precisionroller.com,1996-12-27 05:00:00+00:00,2023-09-27 21:33:43+00:00,2027-12-26 05:00:00+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
prevx.com,2003-11-04 16:13:18+00:00,2024-10-11 07:29:44+00:00,2025-11-04 16:13:18+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
privateschoolreview.com,2003-07-27 20:56:14+00:00,2024-06-27 07:59:52.450000+00:00,2025-07-27 20:56:14+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
prplad.com,2023-05-08 12:55:25+00:00,2025-02-22 09:40:10+00:00,2026-05-08 12:55:25+00:00,Porkbun LLC,abuse@porkbun.com,https://porkbun.com
ptcfast.com,2008-10-02 19:00:24+00:00,2024-09-23 18:13:37+00:00,2026-10-02 19:00:24+00:00,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com
pushbulletusercontent.com,2015-03-07 00:13:40+00:00,2025-02-05 09:28:20.470000+00:00,2026-03-07 00:13:40+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
readingchronicle.co.uk,1997-11-14 00:00:00+00:00,2024-02-13 00:00:00+00:00,2025-11-14 00:00:00+00:00,Newsquest Media Group Limited [Tag = NEWSCOMM],,
redrockis.com,2007-01-26 17:28:39+00:00,2025-01-16 14:59:15+00:00,2028-01-26 17:28:39+00:00,"Wild West Domains, LLC",abuse@wildwestdomains.com,https://wildwestdomains.com
reef-beat.com,2018-09-13 08:01:46+00:00,2023-09-14 15:13:03+00:00,2028-09-13 08:01:46+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
registria.com,2006-07-20 18:13:55+00:00,2024-04-02 12:32:55+00:00,2025-04-02 03:59:59+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
